sku,release_date
CP103,2023-03-09
CP217,2026-03-26
CA13,2025-03-13
CA23,2026-06-11
CK51,2026-03-27
CP01,2019-11-14
CP04,2019-11-14
CP05,2019-11-14
CP07,2019-12-12
CP08,2019-12-12
CP09,2019-12-12
CP10,2020-08-13
CP11,2020-01-30
CP12,2020-01-30
CP13,2020-03-05
CP15,2020-07-31
CP16,2020-04-23
CP17,2020-03-12
CP18,2020-03-12
CP19,2020-06-28
CP20,2020-06-10
CP21,2020-08-13
CP23,2020-09-10
CP24,2020-05-06
CP25,2020-07-09
CP26,2020-09-11
CP27,2020-09-11
CP28,2021-01-21
CP29,2020-10-22
CP30,2020-10-22
CP32,2020-09-09
CP33,2021-09-08
CP34,2021-02-11
CP35,2021-02-11
CP37,2021-06-23
CP38,2021-07-07
CP39,2021-01-08
CP40,2020-11-12
CP41,2020-11-12
CP42,2020-11-12
CP43,2020-11-12
CP45,2021-06-09
CP46,2021-05-13
CP47,2021-06-09
CP48,2021-09-08
CP49,2021-06-09
CP50,2021-06-23
CP51,2022-10-13
CP52,2022-01-14
CP53,2021-07-07
CP54,2021-07-07
CP55,2022-03-25
CP56,2022-02-10
CP57,2022-02-10
CP58,2021-06-23
CP60,2022-02-10
CP61,2021-05-05
CP62,2022-01-14
CP63,2021-05-05
CP64,2021-09-08
CP65,2021-09-08
CP66,2024-11-07
CP67,2021-09-08
CP69,2024-07-11
CP71,2022-02-10
CP74,2022-10-13
CP75,2022-09-08
CP76,2022-09-08
CP77,2022-09-08
CP79,2022-03-25
CP81,2022-06-08
CP82,2022-12-08
CP83,2025-06-12
CP88,2022-08-29
CP89,2022-08-29
CP90,2023-07-13
CP91,2024-08-01
CP93,2022-08-11
CP94,2026-02-12
CP96,2024-02-29
CP98,2023-01-12
CP100,2023-02-09
CP102,2022-08-06
CP107,2024-09-26
CP109,2024-09-12
CP112,2024-02-29
CP116,2023-07-13
CP126,2025-01-30
CP129,2026-01-06
CP130,2023-02-09
CP137,2023-05-11
CP138,2022-07-07
CP139,2022-11-10
CP140,2022-12-08
CP141,2024-05-09
CP142,2024-05-09
CP143,2023-10-12
CP144,2023-04-13
CP145,2023-04-13
CP146,2023-01-12
CP147,2023-03-09
CP148,2024-05-09
CP151,2024-02-29
CP152,2024-09-26
CP153,2024-09-12
CP154,2026-03-05
CP155,2024-05-15
CP156,2024-05-16
CP158,2024-07-11
CP159,2022-06-09
CP160,2022-10-13
CP162,2024-11-07
CP166,2025-03-13
CP168,2025-10-02
CP169,2025-10-02
CP170,2025-10-02
CP173,2025-06-12
CP186,2025-01-30
CP191,2026-02-12
CP214,2025-07-17
CP218,2026-01-22
CP219,2025-08-21
CP220,2025-05-01
CP221,2025-09-04
CP222,2025-03-27
CP223,2025-03-27
CP224,2026-02-12
CP225,2025-08-21
CP226,2026-01-22
CP234,2025-09-25
CP236,2026-02-26
CP245,2024-10-31
CP271,2025-12-04
CP272,2025-12-04
CPE03,2022-12-08
CPE04,2024-02-01
MCP03,2026-05-21
MCP08,
MCP09,2026-05-21
MCP13,2026-08-20
MCP19,2026-08-20
MCP21,2026-08-20
MCP64,2026-07-30
MCP65,2026-07-23
